Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2037]=33.05563
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2038]=32.70842
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2039]=32.36121
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2040]=32.014
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2041]=31.80989
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2042]=31.60578
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2043]=31.40167
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2044]=31.19756
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2045]=30.99345
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2046]=30.78934
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2047]=30.58523
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2048]=30.38112
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2049]=30.17701
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2050]=29.9729
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2051]=29.9464
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2052]=29.9199
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2053]=29.8934
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2054]=29.8669
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2055]=29.8404
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2056]=29.8139
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2057]=29.7874
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2058]=29.7609
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2059]=29.7344
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2060]=29.7079
Tue Aug 11 14:42:19 2020:DEBUG:setData: Setting OC_emissions[2061]=29.54327
